学号,姓名,性别,班级,数学,语文,英语,物理,化学,生物,总分,排名
20240095,殷刚宇,男,高一(2)班,66,56,48,61,100,75,406,79
20240082,冯欣芳,女,高一(1)班,99,71,97,76,51,72,466,24
20240022,贺越涛,男,高一(1)班,90,64,70,87,86,68,465,25
20240007,殷娟娜,女,高一(1)班,87,59,94,63,50,99,452,36
20240057,齐雯佳,女,高一(3)班,81,64,70,80,98,45,438,46
20240016,康泽超,男,高一(1)班,94,86,66,52,63,72,433,56
20240080,昌馨,女,高一(2)班,82,89,98,85,60,51,465,27
20240018,乐刚晨,男,高一(3)班,83,57,54,68,93,55,410,75
20240097,褚霞,女,高一(1)班,93,71,83,83,95,84,509,1
20240046,卞军,男,高一(1)班,80,100,71,84,92,54,481,9
20240020,滕磊,男,高一(2)班,76,97,49,93,79,94,488,7
20240038,陈翔,男,高一(2)班,61,53,67,49,60,68,358,100
20240045,方杰,男,高一(3)班,68,95,100,47,67,58,435,54
20240024,毕明,男,高一(3)班,90,85,48,59,49,47,378,97
20240037,昌丽莹,女,高一(1)班,74,65,93,49,45,74,400,84
20240099,安瀚,男,高一(3)班,93,58,85,58,61,87,442,43
20240001,李瀚,男,高一(1)班,59,53,92,51,88,92,435,51
20240009,卞超昊,男,高一(3)班,86,49,83,85,55,79,437,47
20240023,岑萍,女,高一(2)班,59,49,66,46,82,80,382,94
20240005,沈敏,女,高一(2)班,67,99,67,83,61,96,473,13
20240028,沈霞,女,高一(1)班,79,73,53,72,56,62,395,85
20240067,喻宇,男,高一(1)班,63,60,62,66,65,79,395,86
20240076,孙雯婷,女,高一(1)班,59,86,49,94,86,47,421,66
20240098,尹晨,男,高一(2)班,73,64,100,82,72,64,455,33
20240051,时欣,女,高一(3)班,98,79,66,46,52,61,402,83
20240068,秦杰,男,高一(2)班,89,54,90,58,49,71,411,73
20240084,安梦蕊,女,高一(3)班,75,74,72,97,91,82,491,4
20240071,雷雯梦,女,高一(2)班,83,59,76,59,62,72,411,74
20240012,华瑶诗,女,高一(3)班,86,74,54,61,53,60,388,89
20240088,顾飞越,男,高一(1)班,60,89,75,86,90,76,476,11
20240052,罗超,男,高一(1)班,83,72,67,91,95,65,473,14
20240010,何宇,男,高一(1)班,85,89,80,59,88,65,466,23
20240006,孟宇翰,男,高一(3)班,69,50,80,63,98,85,445,41
